station_id,latitude,longitude
dongsi,39.929,116.417
tiantan,39.886,116.407
guanyuan,39.929,116.339
wanshouxigong,39.878,116.352
aotizhongxin,39.982,116.397
nongzhanguan,39.937,116.461
wanliu,39.987,116.287
beibuxinqu,40.09,116.174
zhiwuyuan,40.002,116.207
fengtaihuayuan,39.863,116.279
yungang,39.824,116.146
gucheng,39.914,116.184
fangshan,39.742,116.136
daxing,39.718,116.404
yizhuang,39.795,116.506
tongzhou,39.886,116.663
shunyi,40.127,116.655
pingchang,40.217,116.23
mentougou,39.937,116.106
pinggu,40.143,117.1
huairou,40.328,116.628
miyun,40.37,116.832
yanqin,40.453,115.972
dingling,40.292,116.22
badaling,40.365,115.988
miyunshuiku,40.499,116.911
donggaocun,40.1,117.12
yongledian,39.712,116.783
yufa,39.52,116.3
liulihe,39.58,116.0
qianmen,39.899,116.395
yongdingmennei,39.876,116.394
xizhimenbei,39.954,116.349
nansanhuan,39.856,116.368
dongsihuan,39.939,116.483
